URI|Notation|Label|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1741|1741|karbonatfreier Rigolboden|karbonatfreier Rigolboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1841|1841|karbonatfreier Rohauboden|karbonatfreier Rohauboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1831|1831|karbonatfreier Schwemmboden|karbonatfreier Schwemmboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2132|2132|karbonathaltige Feuchtschwarzerde|karbonathaltige Feuchtschwarzerde||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1812|1812|karbonathaltiger Auboden|karbonathaltiger Auboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1762|1762|karbonathaltiger Deponieboden|karbonathaltiger Deponieboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1732|1732|karbonathaltiger Gartenboden|karbonathaltiger Gartenboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1712|1712|karbonathaltiger Kolluvisol|karbonathaltiger Kolluvisol||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1722|1722|karbonathaltiger Kulturrohboden|karbonathaltiger Kulturrohboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1742|1742|karbonathaltiger Rigolboden|karbonathaltiger Rigolboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1842|1842|karbonathaltiger Rohauboden|karbonathaltiger Rohauboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1832|1832|karbonathaltiger Schwemmboden|karbonathaltiger Schwemmboden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2400|2400|nicht identifizierbare Boeden|nicht identifizierbare Boeden||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1321|1321|rezente Parabraunerde|rezente Parabraunerde||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2011|2011|typischer Gley|typischer Gley||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2031|2031|typischer Hanggley|typischer Hanggley||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2021|2021|typischer Nassgley|typischer Nassgley||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1910|1910|typischer Pseudogley|typischer Pseudogley (PT)||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1921|1921|typischer Stagnogley|typischer Stagnogley||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2111|2111|typisches Niedermoor|typisches Niedermoor||http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
